Timestamp,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,Bin_28,Bin_29,Bin_30,Bin_31
2025-10-24 15:55:32.070,2,0,1,9,1,0,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,2,0,2,1,1,0
2025-10-24 15:55:33.092,1,0,1,8,2,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0
2025-10-24 15:55:34.051,2,1,1,9,2,1,0,1,1,1,2,0,0,1,1,1,1,2,1,0,0,1,1,1,1,1,1,1,2,1,1,1
2025-10-24 15:55:35.073,2,1,0,8,2,0,1,1,1,1,1,1,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2025-10-24 15:55:36.095,1,0,0,9,2,1,2,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0
2025-10-24 15:55:37.053,1,0,0,7,1,2,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,2,1,1,1,0,2,1,1,0,1,1
2025-10-24 15:55:38.074,1,0,0,8,2,1,2,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0
2025-10-24 15:55:39.096,2,0,0,8,1,2,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0
2025-10-24 15:55:40.054,2,1,0,8,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1
2025-10-24 15:55:41.076,1,0,0,8,3,1,2,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
2025-10-24 15:55:42.097,1,0,0,8,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0
2025-10-24 15:55:43.055,1,1,0,8,2,2,2,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
2025-10-24 15:55:44.077,1,0,0,7,1,1,2,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0
2025-10-24 15:55:45.099,1,0,0,8,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0
2025-10-24 15:55:46.057,1,1,0,8,2,2,2,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1
2025-10-24 15:55:47.078,1,0,0,8,2,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0
2025-10-24 15:55:48.100,1,1,0,7,1,1,2,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0
2025-10-24 15:55:49.058,1,1,0,7,2,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
2025-10-24 15:55:50.080,1,0,0,8,1,2,2,1,1,0,2,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1
2025-10-24 15:55:51.102,2,0,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2025-10-24 15:55:52.061,1,0,0,9,1,1,2,1,1,0,2,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0
2025-10-24 15:55:53.083,1,0,0,8,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2025-10-24 15:55:54.104,2,0,0,8,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0
2025-10-24 15:55:55.063,1,1,0,7,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-10-24 15:55:56.084,1,0,0,7,1,2,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0
2025-10-24 15:55:57.106,2,0,0,8,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0
2025-10-24 15:55:58.064,2,0,1,7,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0
2025-10-24 15:55:59.086,2,0,0,8,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0
2025-10-24 15:56:00.107,1,0,0,8,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1
2025-10-24 15:56:01.066,1,0,1,7,1,1,2,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0
2025-10-24 15:56:02.087,1,0,1,7,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0
2025-10-24 15:56:03.109,2,0,0,8,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1
2025-10-24 15:56:04.068,2,0,1,8,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
2025-10-24 15:56:05.089,2,1,0,8,1,1,1,0,1,0,0,0,1,1,1,2,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1
2025-10-24 15:56:06.047,2,0,0,8,1,2,2,0,1,1,2,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1
2025-10-24 15:56:07.069,1,0,0,8,1,1,2,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,0,1,1,1,1,1,0
2025-10-24 15:56:08.091,1,0,1,8,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0
2025-10-24 15:56:09.049,2,0,0,8,2,1,2,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
2025-10-24 15:56:10.071,1,0,0,8,1,2,2,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1
2025-10-24 15:56:11.093,2,1,0,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
2025-10-24 15:56:12.051,2,0,0,8,2,1,2,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
2025-10-24 15:56:13.072,1,0,0,7,1,0,2,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1
2025-10-24 15:56:14.094,1,1,0,7,1,1,1,1,1,1,1,1,1,0,1,2,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
2025-10-24 15:56:15.074,1,0,0,8,1,2,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1
2025-10-24 15:56:16.095,1,0,0,8,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0
2025-10-24 15:56:17.054,1,1,0,7,2,2,2,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1
2025-10-24 15:56:18.075,1,0,0,7,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
2025-10-24 15:56:19.097,1,0,1,8,1,1,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
2025-10-24 15:56:20.056,1,1,0,8,2,1,2,1,1,1,1,1,0,1,0,2,1,1,0,1,0,1,1,1,1,1,2,1,0,0,0,1
2025-10-24 15:56:21.077,2,0,0,7,2,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0
2025-10-24 15:56:22.099,1,1,0,7,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,0,1,1,1,1,1,1,1,2,1,1
2025-10-24 15:56:23.057,1,0,0,8,2,1,2,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0
2025-10-24 15:56:24.079,2,1,0,7,1,1,2,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2,0,0
2025-10-24 15:56:25.101,1,1,0,7,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1
2025-10-24 15:56:26.059,1,0,0,8,1,2,2,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1
2025-10-24 15:56:27.081,2,1,0,7,1,1,2,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0
2025-10-24 15:56:28.103,2,0,0,9,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1
2025-10-24 15:56:29.061,1,0,0,7,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0
2025-10-24 15:56:30.083,1,0,2,9,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1
2025-10-24 15:56:31.105,2,1,2,9,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0
2025-10-24 15:56:32.062,2,1,2,8,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,2,0
2025-10-24 15:56:33.085,2,1,1,10,0,0,1,1,0,0,1,1,1,0,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
2025-10-24 15:56:34.106,2,1,1,11,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
2025-10-24 15:56:35.065,2,2,1,9,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,2,1,1,1,1,0,0,1,0
2025-10-24 15:56:36.087,2,1,1,10,2,0,1,1,2,1,2,0,1,0,1,2,1,1,1,0,1,0,1,1,0,1,1,1,1,2,1,1
2025-10-24 15:56:37.109,1,0,1,8,2,2,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0
2025-10-24 15:56:38.067,1,1,1,9,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
2025-10-24 15:56:39.089,1,1,0,7,2,2,2,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
2025-10-24 15:56:40.048,1,0,0,7,2,2,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1
2025-10-24 15:56:41.069,1,0,0,9,1,1,2,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0
2025-10-24 15:56:42.091,2,0,0,7,1,0,2,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
2025-10-24 15:56:43.049,1,0,0,8,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0
2025-10-24 15:56:44.070,2,0,0,7,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0
2025-10-24 15:56:45.092,1,1,1,9,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0
2025-10-24 15:56:46.051,2,1,0,9,0,0,0,1,1,1,0,1,0,0,0,2,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0
2025-10-24 15:56:47.072,2,1,2,9,0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0
2025-10-24 15:56:48.094,2,1,1,10,0,0,1,1,0,0,1,1,1,0,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
2025-10-24 15:56:49.052,2,2,2,10,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0
2025-10-24 15:56:50.074,2,1,3,10,1,1,2,1,0,0,1,1,1,1,1,1,1,0,1,2,1,1,0,1,1,0,1,1,0,1,1,1
2025-10-24 15:56:51.096,2,1,1,9,1,0,1,1,1,1,0,1,1,0,1,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
2025-10-24 15:56:52.055,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0
2025-10-24 15:56:53.076,1,1,1,9,2,1,0,2,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,0
